"Kennziffer","Einheit","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Wohnungen","","315701","317439","316763","316341","316358","316027","314973","314223","314402","315397","315940","328662","329340","330703","331748","333562","335024","336653","338414","340316","343149","344920"
"Wohnfläche","","20598","20769","20768","20792","20845","20884","20877","20892","20949","21036","21106","22687","22757","22922","23069","23244","23407,8","23364","23489","23708","24111","24444"
"Durchschnittliche Fläche je Wohnung","","65,2","65,4","65,6","65,7","65,9","66,1","66,3","66,5","66,6","66,7","66,8","69","69,1","69,3","69,5","69,7","69,8","69,4","69,4","69,7","70,3","70,9"
"Einwohner je Wohnung","","1,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","1,6","1,7","1,6","1,6","1,6","1,641242","1,7","1,7","1,7","1,7","1,7","1,7","1,7"
"Wohnfläche je Einwohner","","41,7","42,1","42","42","42","41,5","41,2","40,9","40,7","40,7","40,8","43,8","43,1","42,5","42,4","41,5","40,4","40","39,9","40","40,4","40,6"
